,Lat,Long,Code,Campground,Type,City,State
,61.086,-146.343,ALLI,Allison Point,CP,Valdez,AK
,59.768,-151.865,ANCH,Anchor River State Rec Area,SRA,Anchor Point,AK
,66.566,-150.81,ARCT,Arctic Circle - Dalton Hwy,BLM,,AK
,58.381,-134.737,AUKV,Auk Village,NF,Juneau,AK
,60.751,-149.256,BERT,Bertha Creek,NF,Hope,AK
,61.543,-149.849,BIGL,Big Lake North State Rec Area,SRA,Wasilla,AK
,60.516,-150.702,BING,Bings Landing State Rec Area,SRA,Sterling,AK
,64.319,-146.641,BIRC,Birch Lake State Rec Area,SRA,Salcha,AK
,60.973,-149.464,BIRD,Bird Creek - Chugach State Park,SP,Anchorage,AK
,60.794,-148.909,BLAC,Black Bear,NF,Girdwood,AK
,56.615,-132.823,BLIN,Blind Slough,NF,Petersburg,AK
,61.121,-145.686,BLUE,Blueberry Lake State Rec Area,SRA,Valdez,AK
,63.294,-148.055,BRUS,Brushkana Creek,BLM,Cantwell,AK
,57.763,-152.478,BUSK,Buskin River State Rec Area,SRA,Kodiak,AK
,62.747,-150.115,BYER,Byers Lake - Denali State Park,SP,Trapper Creek,AK
,61.227,-149.733,CENT,Centennial Camper Park,CP,Anchorage,AK
,64.903,-146.373,CHEN,Chena River State Rec Area,SRA,Fairbanks,AK
,64.84,-147.81,CHER,Chena River State Rec Site,SRA,Fairbanks,AK
,60.661,-144.763,CHID,Childs Glacier Recreation Area,NP,,AK
,59.148,-135.363,CHIK,Chilkat State Park,SP,Haines,AK
,59.334,-135.559,CHIL,Chilkoot Lake State Rec Area,SRA,Haines,AK
,60.233,-151.387,CLAM,Clam Gulch State Rec Area,SRA,Clam Gulch,AK
,64.055,-145.442,CLEA,Clearwater State Rec Area,SRA,Delta Junction,AK
,60.85,-149.533,COEU,Coeur Dalene,NF,Hope,AK
,60.484,-149.888,COOP,Cooper Creek Trailhead,NF,Cooper Landing,AK
,60.499,-149.688,CRES,Crescent Creek,NF,Cooper Landing,AK
,65.274,-146.694,CRIP,Cripple Creek - Steese Hwy,BLM,Fairbanks,AK
,60.027,-151.688,DEEP,Deep Creek State Rec Area,SRA,Ninilchik,AK
,64.06,-145.733,DELT,Delta State Rec Area,SRA,Delta Junction,AK
,62.737,-150.17,DENA,Denali Viewpoint - Denali State Park,SP,Talkeetna,AK
,60.804,-151.016,DISC,Discovery State Rec Area,SRA,Kenai,AK
,60.702,-150.799,DOLL,Dolly Varden Lake, ,Kenai,AK
,63.677,-145.883,DONN,Donnelly Creek State Rec Area,SRA,Delta Junction,AK
,62.146,-145.478,DRYC,Dry Creek State Rec Area,SRA,Glennallen,AK
,59.483,-135.359,DYEA,Dyea - Klondike National Historical Park,NP,Skagway,AK
,64.774,-141.238,EAGL,Eagle - Taylor Hwy,BLM,Eagle,AK
,61.307,-149.57,EAGR,Eagle River - Chugach State Park,SP,Eagle River,AK
,63.165,-143.195,EAGT,Eagle Trail State Rec Area,SRA,Tok,AK
,55.707,-132.852,EAGN,Eagles Nest,NF,,AK
,61.409,-149.148,EKLU,Eklunta - Chugach State Park,SP,Chugiak,AK
,61.61,-149.274,FING,Finger Lake State Rec Area,SRA,Wasilla,AK
,65.918,-149.816,FIVE,Five Mile - Dalton Hwy,BLM,,AK
,57.831,-152.36,FORT,Fort Abercrombie State Park,SP,Kodiak,AK
,68.5,-149.46,GALB,Galbraith Lake - Dalton Hwy,BLM,,AK
,60.725,-149.292,GRAN,Granite Creek,NF,Moose Pass,AK
,64.438,-146.882,HARD,Harding Lake State Rec Area,SRA,Salcha,AK
,55.467,-132.862,HARR,Harris River,NF,Klawock,AK
,60.466,-150.204,HIDD,Hidden Lake  - Kenai Wildlife Refuge,NWR,Cooper Landing,AK
,60.536,-150.755,IZAA,Izaak Walton State Rec Area,SRA,Sterling,AK
,60.293,-151.269,JOHN,Johnson Lake State Rec Area,SRA,Kasilof,AK
,61.776,-148.495,KING,King Mountain State Rec Area,SRA,Chickaloon,AK
,62.28,-146.551,LAKE,Lake Louise State Rec Area,SRA,Glennallen,AK
,55.445,-131.684,LAST,Last Chance,NF,Ketchikan,AK
,61.987,-146.951,LITT,Little Nelchina State Rec Area,SRA,Glennallen,AK
,60.462,-150.322,LOWO,Lower Ohmer Lake, ,Cooper Landing,AK
,60.473,-150.461,LOWS,Lower Skilak Lake, ,Cooper Landing,AK
,67.318,-150.163,MARI,Marion Creek - Dalton Hwy,BLM,,AK
,61.798,-147.795,MATA,Matanuska Glacier State Rec Area,SRA,Sutton,AK
,58.411,-134.587,MEND,Mendenhall Lake,NF,Juneau,AK
,63.374,-143.543,MOON,Moon Lake State Rec Area,SRA,Tanacross,AK
,60.5,-150.863,MORG,Morgans Landing State Rec Area,SRA,Sterling,AK
,59.453,-136.026,MOSQ,Mosquito Lake State Rec Area,SRA,Haines,AK
,65.356,-146.621,MOUP,Mount Prindle - Steese Hwy,BLM,,AK
,61.708,-150.027,NANC,Nancy Lake State Rec Area,SRA,Sutton,AK
,60.051,-151.668,NINI,Ninilchik State Rec Area,SRA,Ninilchik,AK
,56.58,-132.741,OHME,Ohmer Creek,NF,Petersburg,AK
,65.37,-147.088,OPHI,Ophir Creek - Steese Hwy,BLM,,AK
,62.868,-145.535,PAXS,Paxson Lake,BLM,Gakona,AK
,62.729,-143.868,PORC,Porcupine Creek State Rec Area,SRA,Slana,AK
,60.931,-149.664,PORT,Porcupine Trailhead,NF,Hope,AK
,60.341,-149.369,PRIM,Primrose Trailhead,NF,Seward,AK
,60.407,-149.362,PTAR,Ptarmigan Creek Trailhead,NF,Seward,AK
,60.479,-149.728,QUAC,Quartz Creek,NF,Cooper Landing,AK
,64.198,-145.827,QUAR,Quartz Lake State Rec Area,SRA,Delta Junction,AK
,63.73,-148.894,RILE,Riley Creek - Denali National Park,NP,,AK
,61.558,-149.822,ROCK,Rocky Lake State Rec Area,SRA,Wasilla,AK
,60.484,-149.974,RUSS,Russian River Complex,NF,Cooper Landing,AK
,64.469,-146.937,SALC,Salcha River State Rec Area,SRA,Salcha,AK
,63.74,-149.294,SAVA,Savage River - Denali National Park,NP,,AK
,57.062,-135.207,SAWM,Sawmill Creek,NF,Sitka,AK
,55.511,-131.726,SETT,Settlers Cove State Rec Area,SRA,Ketchikan,AK
,55.409,-131.698,SIGN,Signal Creek,NF,Ketchikan,AK
,62.528,-145.52,SOUR,Sourdough Creek,BLM,Gakona,AK
,61.665,-145.174,SQUI,Squirrel Creek State Rec Area,SRA,Copper Center,AK
,59.843,-151.812,STAR,Stariski State Rec Area,SRA,Anchor Point,AK
,57.133,-135.369,STAR,Starrigavan,NF,Sitka,AK
,63.052,-146.012,TANG,Tangle Lakes,BLM,,AK
,63.671,-149.576,TEKL,Teklanika  River - Denali National Park,NP,Healy,AK
,60.636,-149.497,TEND,Tenderfoot Creek,NF,Moose Pass,AK
,60.531,-149.557,TERN,Tern Lake, ,Moose Pass,AK
,63.325,-142.839,TOKR,Tok River State Rec Area,SRA,Tok,AK
,60.416,-149.381,TRAI,Trail River,NF,Moose Pass,AK
,65.192,-147.257,UPPC,Upper Chatanika River State Rec Area,SRA,Fairbanks,AK
,60.438,-150.319,UPPS,Upper Skilak,NWR,Cooper Landing,AK
,61.138,-146.214,VALD,Valdez Glacier,CP,Valdez,AK
,64.077,-141.633,WALK,Walker Fork - Taylor Hwy,BLM,Chicken,AK
,63.886,-142.229,WESF,West Fork - Taylor Hwy,BLM,,AK
,65.087,-147.73,WHIT,Whitefish - Lower Chatanika State Rec Area,SRA,Fairbanks,AK
,60.786,-148.88,WILW,Williwaw,NF,Girdwood,AK
,61.753,-150.058,WILL,Willow Creek State Rec Area,SRA,Willow,AK
,40.269,-124.23,AWWA,A.W. Way County Park,CP,Ferndale,CA
,40.786,-122.771,ACKE,Ackerman,NF,Lewiston,CA
,38.177,-120.798,ACOR,Acorn - New Hogan Lake,COE,Valley Springs,CA
,37.978,-120.52,ACOR,Acorn - Tuttletown Area - New Melones Lake,BOR,Sonora,CA
,34.576,-117.408,ADEL,Adelanto City Park,CP,Adelanto,CA
,32.792,-117.103,ADMI,Admiral Baker Military - San Diego NS,MIL,San Diego,CA
,37.804,-119.112,AERI,Aerie Crag RV Camp,NF,June Lake,CA
,35.038,-116.384,AFTO,Afton Canyon,BLM,Baker,CA
,37.682,-119.09,AGNE,Agnew Meadows,NF,Mammoth Lakes,CA
,32.95,-116.302,AGUA,Agua Caliente,CP,Ocotillo,CA
,41.11,-122.097,AHDI,Ah - Di - Na,NF,Castella,CA
,39.146,-120.406,AHAR,Ahart,NF,Foresthill,CA
,40.226,-123.647,AIKE,Aikens Creek,NF,,CA
,38.985,-120.38,AIRP,Airport Flat,NF,Pollock Pines,CA
,36.595,-118.108,ALAB,Alabama Hills Rec Area,BLM,Lone Pine,CA
,37.659,-121.889,ALAM,Alameda County Fairgrounds RV,CP,Pleasanton,CA
,40.353,-124.009,ALBE,Albee Creek State Park,SP,Weott,CA
,35.72,-118.612,ALDC,Alder Creek,NF,Glennville,CA
,40.21,-121.495,ALDE,Alder Creek,NF,,CA
,41.256,-121.883,ALGO,Algoma,NF,Mccloud,CA
,34.908,-119.768,ALIS,Aliso Park,NF,,CA
,40.217,-121.177,ALMA,Almanor,NF,Chester,CA
,39.323,-120.121,ALPM,Alpine Meadows,COE,Truckee,CA
,40.887,-122.766,ALPI,Alpine View,NF,Trinity Center,CA
,34.557,-115.781,AMBO,Amboy Crater,BLM,Amboy,CA
,35.284,-120.266,AMER,American Canyon,NF,San Luis Obisp,CA
,36.283,-121.833,ANDR,Andrew Molera State Park,SP,Big Sur,CA
,34.726,-118.177,ANTE,Antelope Valley Fairgrounds RV Park,CP,Lancaster,CA
,37.759,-122.105,ANTH,Anthony Chabot Regional Park,CP,Oakland,CA
,40.886,-122.381,ANTL,Antlers,NF,Lakehead,CA
,34.389,-117.717,APPL,Appletree,NF,Big Pines,CA
,34.26,-117.493,APPW,Applewhite,NF,Lytle Creek,CA
,40.765,-122.119,ARBU,Arbuckle Flat,NF,Bella Vista,CA
,36.235,-121.483,ARRO,Arroyo Seco,NF,Greenfield,CA
,41.117,-122.06,ASHC,Ash Camp,NF,Castella,CA
,41.161,-120.828,ASHK,Ash Creek,NF,Adin,CA
,37.939,-119.188,ASPN,Aspen,NF,Lee Vining,CA
,40.556,-120.772,ASPE,Aspen Grove,NF,Susanville,CA
,36.464,-118.668,ATWE,Atwell Mill - Sequoia National Park,NP,Grant Grove,CA
,38.566,-123.011,AUST,Austin Creek State Rec Area,SRA,Guerneville,CA
,35.652,-118.457,AUXI,Auxiliary Dam,NF,Lake Isabella,CA
,36.742,-118.966,AZAL,Azalea - Sequoia and Kings Canyon National Park,NP,Grant Grove,CA
,37.269,-119.116,BADG,Badger Flat,NF,Lakeshore,CA
,37.61,-120.136,BAGB,Bagby Rec Area,COE,Coulterville,CA
,40.341,-123.4,BAIC,Bailey Canyon,NF,Mad River,CA
,40.8,-122.319,BAIL,Bailey Cove,NF,Lakehead,CA
,38.324,-119.752,BAKE,Baker,NF,Mi-Wuk,CA
,37.169,-118.308,BACC,Baker Creek,CP,Big Pine,CA
,36.223,-118.675,BALC,Balch Park,CP,Springville,CA
,37.79,-118.888,BALD,Bald Mountain Springs,NF,,CA
,34.883,-119.444,BALL,Ballinger,NF,Maricopa,CA
,34.9,-120.141,BARR,Barrel Springs,NF,Santa Maria,CA
,37.642,-120.288,BART,Barrett Cove Rec Area,COE,La Grange,CA
,34.171,-116.874,BARF,Barton Flats,NF,Angelus Oaks,CA
,37.031,-121.063,BASA,Basalt State Rec Area - San Luis Reservoir,SRA,Gustine,CA
,40.352,-122.959,BASG,Basin Gulch,NF,Platina,CA
,34.955,-119.907,BATE,Bates Canyon,NF,Santa Maria,CA
,40.348,-121.627,BATT,Battle Creek,NF,Mineral,CA
,38.945,-120.099,BAYV,Bayview,NF,South Lake Tahoe,CA
,39.13,-121.385,BEAL,Beale AFB Military,MIL,Beale Afb,CA
,38.719,-121.172,BEAP,Beals Point - Folsom Lake State Rec Area,SRA,Folsom,CA
,41.444,-123.612,BEAN,Beans Camp,NF,,CA
,34.713,-118.631,BEAR,Bear,NF,Lake Hughes,CA
,39.322,-122.837,BEAC,Bear Creek,NF,Upper Lake,CA
,39.084,-120.989,BERC,Bear River County Park,CP,Colfax,CA
,39.557,-120.235,BEAL,Bear Valley,NF,Sierraville,CA
,38.21,-120.075,BEAD,Beardsley Dam,NF,,CA
,41.927,-122.829,BEVR,Beaver Creek,NF,Klamath River,CA
,40.848,-122.405,BEEH,Beehive Point,NF,Lakehead,CA
,36.142,-118.6,BELK,Belknap,NF,Springville,CA
,34.002,-116.02,BELL,Belle - Joshua Tree National Park,NP,,CA
,40.061,-123.785,BENB,Benbow Lake State Rec Area,SRA,Garberville,CA
,40.395,-121.269,BENC,Benner Creek,NF,Chester,CA
,39.628,-120.643,BERG,Berger Creek,NF,,CA
,39.718,-121.946,BIDW,Bidwell - Sacramento River State Park,SP,Chico,CA
,39.533,-121.459,BIDC,Bidwell Canyon - Lake Oroville State Rec Area,SRA,Oroville,CA
,40.738,-123.252,BIGR,Big Bar,NF,Big Bar,CA
,37.169,-122.221,BIG3,Big Basin Redwoods State Park,SP,Boulder Creek,CA
,34.235,-116.879,BIGB,Big Bear Military,MIL,Big Bear,CA
,37.945,-119.202,BIGN,Big Bend,NF,Lee Vining,CA
,39.307,-120.52,BIGB,Big Bend - Soda Springs, ,Soda Springs,CA
,39.902,-120.174,BIGC,Big Cove Family,NF,Chilcoot,CA
,40.739,-123.203,BIGF,Big Flat,NF,Junction City,CA
,41.688,-123.908,BIGL,Big Flat,NF,Crescent City,CA
,41.164,-124.131,BIG4,Big Lagoon County Park,CP,Trinidad,CA
,38.417,-120.106,BIG2,Big Meadow,NF,Arnold,CA
,36.721,-118.82,BIGW,Big Meadow,NF,,CA
,37.511,-118.714,BIGM,Big Meadows,NF,Mammoth Lakes,CA
,39.075,-120.425,BIME,Big Meadows,NF,Foresthill,CA
,38.004,-120.538,BIGO,Big Oak - Glory Hole Area - New Melones Lake,BOR,Angels Camp,CA
,37.126,-118.433,BIGI,Big Pine,NF,Big Pine,CA
,40.634,-121.466,BIGP,Big Pine,NF,Old Station,CA
,34.32,-117.012,BIGA,Big Pine Flat,NF,Big Bear Lake,CA
,37.173,-118.289,BPTP,Big Pine Triangle Park,CP,Big Pine,CA
,39.144,-120.754,BIGE,Big Reservoir,NF,Foresthill,CA
,34.388,-117.777,BIGR,Big Rock,NF,Pearblossom,CA
,41.579,-120.628,BIGS,Big Sage,NF,Alturas,CA
,37.468,-119.582,BIGY,Big Sandy,NF,Oakhurst,CA
,40.665,-123.497,BIGD,Big Slide,NF,Hyampom,CA
,37.749,-118.94,BIGG,Big Springs,NF,Mammoth Lakes,CA
,37.265,-118.578,BIGT,Big Trees,NF,Bishop,CA
,37.238,-119.227,BILL,Billy Creek - Lower,NF,Lakeshore,CA
,37.239,-119.227,BILU,Billy Creek - Upper,NF,Lakeshore,CA
,40.546,-120.332,BISC,Biscar Reservoir,BLM,Susanville,CA
,37.244,-118.597,BISH,Bishop Park,NF,Bishop,CA
,37.287,-118.558,BITT,Bitterbrush,NF,Bishop,CA
,40.184,-121.712,BLAC,Black Rock,NF,,CA
,36.921,-119.026,BLAM,Black Rock - Trimmer, ,Shaver Lake,CA
,34.076,-116.388,BLAR,Black Rock Canyon - Joshua Tree National Park,NP,Yucca Valley,CA
,39.73,-121.01,BLAT,Black Rock Tent(Family ),NF,La Porte,CA
,41.557,-121.57,BLAN,Blanche Lake,NF,,CA
,38.524,-119.811,BLO2,Bloomfield 2,NF,Arnold,CA
,38.538,-119.824,BLO1,Bloomfield I,NF,Arnold,CA
,33.653,-117.45,BLUJ,Blue Jay,NF,Lake Elsinore,CA
,41.143,-120.28,BLUL,Blue Lake,NF,Likely,CA
,37.664,-120.463,BLUO,Blue Oaks, ,Modesto,CA
,39.07,-122.509,BLUK,Blue Oaks,BLM,Williams,CA
,37.705,-120.433,BLOK,Blue Oaks - Don Pedro Rec Area,CP,La Grange,CA
,34.53,-118.758,BLUP,Blue Point, ,Castaic,CA
,34.36,-117.688,BLUE,Blue Ridge,NF,Wrightwood,CA
,33.374,-117.562,BLUF,Bluffs - San Onofre State Beach,SB,San Clemente,CA
,38.301,-120.234,BOAR,Boards Crossing,NF,,CA
,32.713,-116.556,BOBC,Bobcat Meadow,NF,Pine Valley,CA
,39.395,-120.104,BOCA,Boca,NF,Truckee,CA
,39.42,-120.086,BOCR,Boca Rest,NF,Truckee,CA
,39.429,-120.075,BOCS,Boca Springs,NF,Truckee,CA
,38.341,-123.054,BODE,Bodega Dunes - Sonoma Coast State Park,SP,Bodega Bay,CA
,40.575,-121.098,BOGA,Bogard,NF,Susanville,CA
,33.982,-116.953,BOGP,Bogart Park,CP,Cherry Valley,CA
,34.086,-117.794,BOHE,Bohelli Regional Park,CP,San Dimas,CA
,40.945,-123.658,BOIS,Boise Creek,NF,Willow Creek,CA
,33.692,-118.044,BOLS,Bolsa Chica State Beach,SB,Huntington Beach,CA
,33.351,-115.739,BOMB,Bombay Beach  - Salton Sea State Rec Area,SRA,Niland,CA
,38.424,-119.452,BOOT,Bootleg,NF,Coleville,CA
,33.269,-116.406,BORR,Borrego Palm Canyon  - Anza Borrego Desert State Park,SP,Borrego Springs,CA
,38.546,-122.535,BOTH,Bothe - Napa Valley State Park,SP,Calistoga,CA
,36.354,-121.813,BOTT,Bottchers Gap,NF,Carmel,CA
,37.93,-119.169,BOUL,Boulder,NF,Lee Vining,CA
,33.826,-116.756,BOUB,Boulder Basin,NF,Idyllwild,CA
,40.195,-120.618,BOUC,Boulder Creek,NF,Taylorsville,CA
,38.355,-119.861,BOUF,Boulder Flat,NF, Mi-Wuk,CA
,35.673,-118.469,BOUG,Boulder Gulch,NF,Lake Isabella,CA
,32.729,-116.483,BOUO,Boulder Oaks,NF,Pine Valley,CA
,32.842,-116.225,BOWW,Bow Willow - Anza Borrego State Park,SP,Borrego Spring,CA
,33.587,-115.977,BOXC,Box Canyon Dispersed,BLM,Mecca,CA
,40.314,-123.394,BOYS,Boy Scout Cove - Ruth Lake,CP,Mad River,CA
,39.438,-120.089,BOYI,Boyington Mill,NF,Truckee,CA
,34.823,-117.923,BRAN,Branch Park - Edwards AFB,MIL,Lancaster,CA
,40.618,-122.576,BRAN,Brandy Creek RV,NP,Redding,CA
,38.111,-121.694,BRAI,Brannan Island State Rec Area,SRA,Rio Vista,CA
,35.469,-118.584,BREC,Breckenridge,NF,Caliente,CA
,37.038,-119.241,BRET,Bretz,NF,Shaver Lake,CA
,37.663,-119.624,BRIV,Bridalveil Creek - Yosemite National Park,NP,,CA
,40.73,-121.437,BRID,Bridge,NF,Old Station,CA
,40.873,-122.915,BRIC,Bridge Camp,NF,Weaverville,CA
,41.65,-123.113,BRIF,Bridge Flat,NF,Ft. Jones,CA
,38.353,-119.849,BRIG,Brightman,NF,Mi-Wuk,CA
,35.103,-118.537,BRIT,Brite Lake,CP,Tehachapi,CA
,37.346,-118.396,BRON,Browns Town,CP,Bishop,CA
,37.346,-118.396,BROW,Browns Town CG (Concession),CP,Bishop,CA
,37.009,-119.06,BUCM,Buck Meadow,NF,Shaver Lake,CA
,36.722,-118.854,BUCR,Buck Rock,NF,,CA
,38.237,-119.348,BUCE,Buckeye,NF,Bridgeport,CA
,36.521,-118.764,BUCF,Buckeye Flat - Sequoia National Park,NP,Three Rivers,CA
,34.346,-117.913,BUCK,Buckhorn,NF,La Canada,CA
,39.811,-122.362,BUCA,Buckhorn Rec Area,COE,Orland,CA
,35.229,-119.261,BUEN,Buena Vista Aquatic Rec Area,CP,Bakersfield,CA
,39.452,-121.13,BULS,Bullards Lakeshore,NF,Camptonville,CA
,41.554,-121.573,BULL,Bullseye Lake,NF,McCloud,CA
,40.309,-123.909,BURL,Burlington - Humboldt Redwoods State Park,SP,Weott,CA
,40.828,-123.482,BURN,Burnt Ranch,NF,,CA
,32.861,-116.421,BURR,Burnt Rancheria,NF,Pine Valley,CA
,39.23,-123.166,BUSH,Bushay,COE,Ukiah,CA
,40.854,-122.817,BUST,Bushytail,NF,Trinity Center,CA
,37.232,-122.326,BUTA,Butano State Park,SP,Pescadero,CA
,40.611,-121.297,BUTT,Butte Creek,NF,,CA
,40.564,-121.304,BUTL,Butte Lake - Lassen Volcanic National Park,NP,Old Station,CA
,40.078,-121.559,BUTM,Butte Meadows,NF,Chester,CA
,32.725,-114.892,BUTT,ButtercupÃ‚Â Ã‚Â OHV,BLM,Winterhaven,CA
,34.869,-119.23,CABA,Caballo,NF,Maricopa,CA
,34.333,-117.7,CABI,Cabin Flat,NF,Big Pines,CA
,38.916,-122.319,CACC,Cache Creek Canyon County Park,CP,Woodland,CA
,34.698,-119.913,CACH,Cachuma,NF,Santa Ynez,CA
,38.595,-121.434,CALX,Cal Expo RV Park,CP,Sacramento,CA
,39.521,-120.988,CALI,Cal Ida,NF,Camptonville,CA
,38.272,-120.288,CALA,Calaveras Big Trees State Park,SP,Arnold,CA
,34.941,-116.867,CALG,Calico Ghost Town Regional Park,CP,Yermo,CA
,38.83,-122.696,CALS,Calso - Boggs Mountain Demo Forest,SF,,CA
,38.88,-120.414,CACO,Camino Cove,NF,Pollock Pines,CA
,35.81,-118.454,CAM3,Camp 3,NF,Kernville,CA
,36.858,-119.111,CAM4,Camp 4 - Yosemite National Park,NF,Fresno,CA
,36.861,-119.123,CA45,Camp 4 1/2,NF,Fresno,CA
,35.695,-118.436,CAM9,Camp 9,NF,Kernville,CA
,34.426,-119.26,CAMC,Camp Comfort,CP,Ojai,CA
,37.122,-119.306,CAME,Camp Edison,UTIL,Shaver Lake,CA
,37.639,-118.991,CAMH,Camp High Sierra,CP,Mammoth Lakes,CA
,37.707,-121.891,CAMP,Camp Parks Military,MIL,Dublin,CA
,38.936,-120.043,CAMR,Camp Richardson Complex,NF,South Lake Tahoe,CA
,35.777,-120.719,CAMR,Camp Roberts Military,MIL,San Miguel,CA
,35.323,-120.738,CAMS,Camp San Luis Obispo RV Military,MIL,San Luis Obispo,CA
,38.934,-120.065,CAMP,Camp Shelley,CP,South Lake Tah,CA
,38.942,-119.975,CAML,Campground by the Lake,CP,South Lake Tahoe,CA
,34.833,-119.204,CAMA,Campo Alto,NF,Pine Mountain,CA
,39.438,-120.58,CANY,Canyon Creek,NF,,CA
,36.788,-118.666,CANV,Canyon View - Sequoia and Kings Canyon National Park,NP,Cedar Grove,CA
,38.706,-120.054,CAPL,Caples Lake,NF,Kit Carson,CA
,38.651,-120.406,CAPP,Capps Crossing,NF,Pollock Pines,CA
,39.52,-121,CARF,Carlton Flat,NF,Downieville,CA
,37.628,-121.529,CARN,Carnegie State Vehicle Rec Area,SP,Tracy,CA
,34.392,-119.521,CARP,Carpinteria State Beach,SB,Carpinteria,CA
,39.401,-120.64,CARR,Carr Lake,NF,Nevada City,CA
,38.28,-119.97,CASC,Cascade Creek,NF,Mi-Wuk,CA
,33.54,-117.557,CASP,Caspers Wilderness County Park,CP,San Juan Capistrano,CA
,33.54,-117.557,CAWP,Caspers Wilderness Park,CP,Trabuco Canyon,CA
,33.54,-117.557,CASP,Caspers Wilderness Park,CP,San Juan Capis,CA
,34.506,-118.606,CAST,Castaic Lake,CP,Santa Clarita,CA
,41.15,-122.318,CASP,Castle Crags State Park,SP,Castella,CA
,41.236,-122.379,CAST,Castle Lake,NF,Mt.Shasta,CA
,37.7,-121.183,CASW,Caswell Memorial State Park,SP,Ripon,CA
,37.251,-119.182,CATA,Catavee,NF,Lakeshore,CA
,41.259,-121.94,CATC,Cattle Camp,NF,McCloud,CA
,37.935,-119.144,CATT,Cattleguard,NF,Lee Vining,CA
,40.685,-121.423,CAVE,Cave,NF,Old Station,CA
,41.979,-120.204,CAVL,Cave Lake,NF,New Pine Creek,CA
,39.264,-122.699,CEDA,Cedar Camp,NF,Stonyford,CA
,35.749,-118.582,CEDC,Cedar Creek,NF,Wofford Heights,CA
,41.56,-120.294,CEDP,Cedar Pass,NF,Cedarville,CA
,32.975,-115.176,CEME,Cement Flats - Imperial Sand Dunes OHV,BLM,Brawley,CA
,38.632,-119.72,CENT,Centerville Flat,NF,,CA
,35.424,-120.741,CERR,Cerro Alto,NF,Atascadero,CA
,37.982,-120.516,CHAM,Chamise - Tuttletown Area - New Melones Lake,BOR,Columbia,CA
,34.162,-119.221,CHAN,Channel Islands Coast Guard Military,MIL,Oxnard,CA
,38.625,-122.288,CHAP,Chaparral Cove - Lake Berryessa - USBR,BOR,Napa,CA
,39.631,-120.543,CHAP,Chapman Creek,NF,Sierra City,CA
,39.206,-123.184,CHEK,Chekaka,COE,Ukiah,CA
,40.103,-121.497,CHER,Cherry Hill,NF,Chester,CA
,37.987,-119.915,CHEV,Cherry Valley,NF,Groveland,CA
,35.824,-118.462,CHIC,Chico Flat,NF,Kernville,CA
,34.321,-118.016,CHIS,Chilao,NF,La Canada,CA
,39.866,-120.166,CHIF,Chilcoot Family .,NF,Chilcoot,CA
,37.37,-119.539,CHIL,Chilkoot,NF,Oakhurst,CA
,38.734,-120.538,CHIM,Chimney  - Sly Park Recreation Area,CP,Pollock Pines,CA
,35.839,-118.043,CHIM,Chimney Creek,BLM,Inyokern,CA
,38.002,-122.48,CHIC,China Camp State Park,SP,San Rafael,CA
,38.754,-120.268,CHIT,China Flat,NF,Kyburz,CA
,33.92,-117.824,CHIN,Chino Hills - State Park,SP,Chino Hills,CA
,36.822,-119.363,CHOI,Choinumni,CP,Piedra,CA
,38.394,-119.456,CHRF,Chris Flat,NF,Walker,CA
,40.568,-120.836,CHRI,Christie,NF,Susanville,CA
,34.785,-119.001,CHUC,Chuchupate,NF,Frazier Park,CA
,34.813,-119.123,CHUL,Chula Vista,NF,Frazier Park,CA
,32.777,-116.447,CIBB,Cibbets Flat,NF,Pine Valley,CA
,41,-124.115,CLAB,Clam Beach County Park,CP,Arcata,CA
,38.396,-119.8,CLAF,Clark Fork,NF,Mi-Wuk,CA
,40.857,-122.812,CLAR,Clark Springs,NF,Trinity Center,CA
,40.931,-122.586,CLEC,Clear Creek,NF,Lakehead,CA
,39.008,-122.814,CLEA,Clear Lake State Park,SP,Kelseyville,CA
,41.971,-124.204,CLIF,Clifford Kamph Co Park,CP,Smith River,CA
,37.529,-119.28,CLOV,Clover Meadow,NF,,CA
,38.804,-123.024,CLOF,Cloverdale Citrus Fair,CP,Cloverdale,CA
,35.108,-120.623,COAS,Coastal Dunes RV Park,CP,Oceano,CA
,37.214,-119.962,CODO,Codorniz Rec Area,COE,Chowchilla,CA
,36.152,-118.743,COFF,Coffee Camp,NF,Springville,CA
,39.543,-120.315,COLD,Cold Creek,NF,Sierraville,CA
,36.452,-118.611,COLS,Cold Springs - Sequoia National Park,NP,Three Rivers,CA
,34.291,-117.84,COLB,Coldbrook,NF,,CA
,37.597,-118.999,COLW,Coldwater,NF,ammoth Lakes,CA
,37.252,-119.17,COLL,College,NF,Lakeshore,CA
,35.868,-119.386,COLO,Colonel Allensworth State Historic Park,SP,Earlimart,CA
,34.94,-120.17,COLN,Colson,NF,Santa Maria,CA
,39.218,-122.015,COLU,Colusa - Sacramento River State Rec Area,SRA,Colusa,CA
,39.205,-122.018,COLF,Colusa County Fairgrounds,CP,Colusa,CA
,40.047,-120.368,CONK,Conklin Park Family .,NF,Portola,CA
,38.011,-121.821,CONT,Contra Costa County Fair RV Park,CP,Antioch,CA
,36.818,-118.831,CONV,Convict Flat,NF,,CA
,37.597,-118.849,CONL,Convict Lake,NF,Mammoth Lakes,CA
,40.145,-121.166,COOL,Cool Springs,UTIL,Almanor,CA
,33.448,-114.903,COON,Coon Hollow,BLM,,CA
